epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.173269,0.1006,0.067221,0.9802
2,0.064278,0.1011,0.056728,0.984
3,0.044593,0.1003,0.04643,0.9877
4,0.034576,0.1024,0.053388,0.9867
5,0.028035,0.1,0.048781,0.9883
6,0.020952,0.0987,0.052714,0.9865
7,0.017964,0.0988,0.046961,0.9878
8,0.01412,0.1018,0.056486,0.9873
9,0.01272,0.0989,0.048389,0.9897
10,0.010112,0.103,0.059155,0.9872
