epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.26634,0.1016,0.121616,0.9633
2,0.111505,0.1004,0.091602,0.9755
3,0.075823,0.0995,0.07329,0.9767
4,0.054758,0.0984,0.06984,0.9795
5,0.040951,0.1023,0.078254,0.9782
6,0.030923,0.1017,0.079473,0.9795
7,0.022365,0.1001,0.064707,0.9838
8,0.018695,0.1014,0.067384,0.9825
9,0.013398,0.102,0.070217,0.9823
10,0.009477,0.101,0.071142,0.9818
